competition,season,team_name,Gls_per_90m,Ast_90m,GA/90,position,played,won,draw,lost,gf,ga,gd,points,points_per_match,xG,xGA,npxG,npxGA,xPts,xPts_per_match,status_time_points,Passes,long_pass_accuracy,cross_accuracy,dribble_accuracy,teams_salary,Shot_Difference,SOT_Difference,gf_xG_performance_final,posse_percent
PL,2019,Liverpool,2.18,1.82,0.87,1,38,32,3,3,85,33,52.0,99,2.61,75.19,39.57,71.39,38.81,72.43,1.91,1,23872,51,17,59,114870000,247,122,10,62.9
PL,2019,Manchester City,2.63,1.82,0.92,2,38,26,3,9,102,35,67.0,81,2.13,102.21,37.0,93.53,34.71,83.9,2.21,-1,26330,65,19,67,148990000,466,148,0,66.2
PL,2019,Chelsea,1.82,1.21,1.42,3,38,20,6,12,66,36,30.0,66,1.74,76.23,41.09,70.9,39.57,71.71,1.89,0,23245,54,23,64,119650000,303,106,-10,60.4
PL,2019,Manchester United,1.71,1.13,0.95,4,38,18,12,8,69,54,15.0,66,1.74,66.19,38.06,55.53,35.78,68.93,1.81,1,20059,51,16,60,165440000,156,88,3,55.8
PL,2019,Leicester,1.71,1.26,01.08,5,38,18,8,12,67,41,26.0,62,1.63,61.02,47.89,55.67,40.28,60.38,1.59,1,19915,49,18,55,73530000,157,53,6,57.1
PL,2019,Tottenham,1.47,01.03,1.24,6,38,16,11,11,61,47,14.0,59,1.55,49.02,54.13,45.83,48.8,49.54,1.3,-1,18643,42,16,60,107580000,-91,-23,12,52.0
PL,2019,Wolverhampton Wanderers,1.29,0.89,01.05,7,38,15,14,9,51,40,11.0,59,1.55,54.22,37.39,51.18,34.96,62.36,1.64,0,16766,53,23,62,54130000,63,16,-3,48.3
PL,2019,Arsenal,1.47,0.92,1.26,8,38,14,14,10,56,48,8.0,56,1.47,50.82,57.25,48.54,51.01,50.47,1.33,-1,18649,48,17,59,118540000,-144,-43,5,53.8
PL,2019,Burnley,01.08,0.79,1.32,9,38,15,9,14,39,39,0.0,54,1.42,49.35,53.84,47.06,50.02,49.28,1.3,1,13011,41,19,56,44470000,-151,-36,-10,41.9
PL,2019,Sheffield United,0.95,0.66,01.03,10,38,14,12,12,43,50,-7.0,54,1.42,45.81,52.04,45.05,49.76,49.59,1.3,-2,14922,40,20,65,24180000,-76,-25,-3,43.1
