competition,season,team_name,Gls_per_90m,Ast_90m,GA/90,position,played,won,draw,lost,gf,ga,gd,points,points_per_match,xG,xGA,npxG,npxGA,xPts,xPts_per_match,status_time_points,Passes,long_pass_accuracy,cross_accuracy,dribble_accuracy,teams_salary,Shot_Difference,SOT_Difference,gf_xG_performance_final,posse_percent
PL,2017,Manchester City,2.71,2.24,,1,38,32,4,2,106,27,79,100,2.6315789473684212,78.6,,72.7,,0,0,0,26164,66.5,0,68.7,0,0,0,27.400000000000006,71.0
PL,2017,Manchester Utd,1.76,1.39,,2,38,25,6,7,68,28,40,81,2.1315789473684212,55.7,,53.3,,0,0,0,17765,55.9,0,63.3,0,0,0,12.299999999999997,54.7
PL,2017,Tottenham,1.84,1.34,,3,38,23,8,7,74,36,38,77,2.026315789473684,64.7,,62.3,,0,0,0,19284,61.7,0,60.6,0,0,0,9.299999999999997,61.8
PL,2017,Liverpool,2.16,1.53,,4,38,21,12,5,84,38,46,75,1.9736842105263157,72.9,,70.6,,0,0,0,20367,57.4,0,67.5,0,0,0,11.099999999999994,60.3
PL,2017,Chelsea,1.58,1.11,,5,38,21,7,10,62,38,24,70,1.8421052631578947,54.4,,52.0,,0,0,0,18967,61.2,0,69.9,0,0,0,7.600000000000001,55.6
PL,2017,Arsenal,1.92,1.61,,6,38,19,6,13,74,51,23,63,1.6578947368421053,68.3,,64.3,,0,0,0,20878,60.1,0,70.0,0,0,0,5.700000000000003,61.4
PL,2017,Burnley,0.92,0.68,,7,38,14,12,12,36,39,-3,54,1.4210526315789473,32.3,,32.3,,0,0,0,10524,45.6,0,63.2,0,0,0,3.700000000000003,43.7
PL,2017,Everton,1.11,0.68,,8,38,13,10,15,44,58,-14,49,1.2894736842105263,40.5,,34.1,,0,0,0,11953,46.6,0,57.3,0,0,0,3.5,45.5
PL,2017,Leicester City,1.39,1.0,,9,38,12,11,15,56,60,-4,47,1.236842105263158,50.0,,45.3,,0,0,0,12357,50.1,0,58.8,0,0,0,6.0,48.0
PL,2017,Newcastle Utd,1.0,0.76,,10,38,12,8,18,39,47,-8,44,1.1578947368421053,41.6,,40.9,,0,0,0,11071,44.4,0,56.8,0,0,0,-2.6000000000000014,41.7
PL,2017,Crystal Palace,1.16,0.68,,11,38,11,11,16,45,55,-10,44,1.1578947368421053,53.5,,45.9,,0,0,0,11809,45.8,0,66.7,0,0,0,-8.5,45.2
PL,2017,Bournemouth,1.18,0.95,,12,38,11,11,16,45,61,-16,44,1.1578947368421053,38.8,,36.4,,0,0,0,13450,51.6,0,53.8,0,0,0,6.200000000000003,48.1
PL,2017,West Ham,1.26,0.76,,13,38,10,12,16,48,68,-20,42,1.105263157894737,36.7,,33.6,,0,0,0,11779,47.9,0,65.9,0,0,0,11.299999999999997,45.2
PL,2017,Watford,1.11,0.71,,14,38,11,8,19,44,64,-20,41,1.0789473684210527,45.0,,40.2,,0,0,0,12758,49.4,0,58.8,0,0,0,-1.0,49.7
PL,2017,Brighton,0.87,0.66,,15,38,9,13,16,34,54,-20,40,1.0526315789473684,37.0,,31.8,,0,0,0,11838,51.9,0,61.4,0,0,0,-3.0,43.7
PL,2017,Huddersfield,0.66,0.5,,16,38,9,10,19,28,58,-30,37,0.9736842105263158,31.3,,29.8,,0,0,0,12036,47.4,0,56.2,0,0,0,-3.3000000000000007,45.7
PL,2017,Southampton,0.95,0.61,,17,38,7,15,16,37,56,-19,36,0.9473684210526315,39.9,,37.6,,0,0,0,14336,46.5,0,71.4,0,0,0,-2.8999999999999986,51.3
PL,2017,Swansea City,0.71,0.53,,18,38,8,9,21,28,56,-28,33,0.868421052631579,31.6,,30.8,,0,0,0,13223,52.2,0,60.8,0,0,0,-3.6000000000000014,45.3
PL,2017,Stoke City,0.89,0.74,,19,38,7,12,19,35,68,-33,33,0.868421052631579,36.5,,34.1,,0,0,0,10122,47.4,0,64.1,0,0,0,-1.5,41.4
PL,2017,West Brom,0.82,0.63,,20,38,6,13,19,31,56,-25,31,0.8157894736842105,36.5,,35.7,,0,0,0,10495,46.7,0,60.9,0,0,0,-5.5,40.7
PL,2018,Manchester City,2.39,1.87,,1,38,32,2,4,95,23,72,98,2.5789473684210527,84.3,,81.3,,0,0,0,24678,67.3,0,59.5,0,0,0,10.700000000000003,67.9
PL,2018,Liverpool,2.26,1.45,,2,38,30,7,1,89,22,67,97,2.5526315789473686,73.7,,68.4,,0,0,0,21146,60.4,0,57.5,0,0,0,15.299999999999997,61.8
PL,2018,Chelsea,1.61,1.37,,3,38,21,9,8,63,39,24,72,1.894736842105263,58.6,,54.6,,0,0,0,22960,66.4,0,63.9,0,0,0,4.399999999999999,62.9
PL,2018,Tottenham,1.74,1.24,,4,38,23,2,13,67,39,28,71,1.868421052631579,54.9,,51.8,,0,0,0,18808,58.7,0,55.1,0,0,0,12.100000000000001,59.0
PL,2018,Arsenal,1.82,1.37,,5,38,21,7,10,73,51,22,70,1.8421052631578947,60.1,,56.0,,0,0,0,18425,59.5,0,56.7,0,0,0,12.899999999999999,58.1
PL,2018,Manchester Utd,1.71,1.05,,6,38,19,9,10,65,54,11,66,1.736842105263158,61.4,,52.0,,0,0,0,16834,57.5,0,58.0,0,0,0,3.6000000000000014,54.7
PL,2018,Wolves,1.21,0.92,,7,38,16,9,13,47,46,1,57,1.5,52.1,,49.0,,0,0,0,13961,56.2,0,55.5,0,0,0,-5.100000000000001,46.8
PL,2018,Everton,1.39,0.89,,8,38,15,9,14,54,46,8,54,1.4210526315789473,49.7,,45.7,,0,0,0,13878,52.2,0,55.9,0,0,0,4.299999999999997,51.5
PL,2018,Leicester City,1.26,0.89,,9,38,15,7,16,51,48,3,52,1.368421052631579,52.4,,47.3,,0,0,0,14640,56.2,0,59.0,0,0,0,-1.3999999999999986,50.9
PL,2018,West Ham,1.34,0.87,,10,38,15,7,16,52,55,-3,52,1.368421052631579,47.6,,43.8,,0,0,0,13847,54.8,0,58.2,0,0,0,4.399999999999999,48.6
PL,2018,Watford,1.34,1.03,,11,38,14,8,16,52,59,-7,50,1.3157894736842106,48.2,,47.5,,0,0,0,12550,47.2,0,53.8,0,0,0,3.799999999999997,46.7
PL,2018,Crystal Palace,1.26,0.87,,12,38,14,7,17,51,53,-2,49,1.2894736842105263,47.6,,39.2,,0,0,0,12697,47.9,0,56.5,0,0,0,3.3999999999999986,45.2
PL,2018,Newcastle Utd,1.08,0.87,,13,38,12,9,17,42,48,-6,45,1.1842105263157894,39.1,,36.7,,0,0,0,10774,48.5,0,53.2,0,0,0,2.8999999999999986,40.4
PL,2018,Bournemouth,1.45,1.13,,14,38,13,6,19,56,70,-14,45,1.1842105263157894,53.3,,46.2,,0,0,0,13505,50.7,0,50.3,0,0,0,2.700000000000003,46.9
PL,2018,Burnley,1.13,0.84,,15,38,11,7,20,45,68,-23,40,1.0526315789473684,44.4,,42.8,,0,0,0,10134,46.1,0,55.9,0,0,0,0.6000000000000014,41.2
PL,2018,Southampton,1.16,0.71,,16,38,9,12,17,45,65,-20,39,1.0263157894736843,46.9,,43.4,,0,0,0,11463,43.2,0,56.5,0,0,0,-1.8999999999999986,43.4
PL,2018,Brighton,0.92,0.63,,17,38,9,9,20,35,60,-25,36,0.9473684210526315,35.3,,30.7,,0,0,0,11491,51.2,0,52.1,0,0,0,-0.29999999999999716,42.4
